26/10 120.6
27/10 121.6
28/10 120.8
29/10 121.4
30/10 121.1
5/11 121.1
6/11 120.4
7/11 120.3
8/11 120.8
9/11 120.6
10/11 119.6
11/11 119.8
12/11 118.7
13/11 120.5
14/11 120.1
15/11 120.2
16/11 120.7
17/11 121.7
18/11 120.7
19/11 120.7
20/11 120.3
21/11 119.4
22/11 119.1
23/11 120.2
24/11 120.7
25/11 120.1
26/11 119.7
27/11 119.2
28/11 119.4
29/11 119.5
30/11 119
1/12 118.9
2/12 118.7
3/12 118.3
4/12 118.5
5/12 118.6
6/12 118.8
7/12 118.5
8/12 118.3
9/12 117.8
10/12 118
13/12 119
15/12 118.4
17/12 116.9
18/12 117.5
19/12 117.4
20/12 117.6
21/12 118.1
22/12 117.3
23/12 117.6
24/12 117.7
25/12 117.6
26/12 117.3
27/12 118
28/12 117.8
29/12 117.5
4/1 119
5/1 117.6
6/1 116.8
7/1 116.6
8/1 116.9
10/1 116.1
11/1 116.1
12/1 115.8
13/1 115.6
14/1 116
15/1 115.4
16/1 115.5
17/1 115.3
